Task Name,Duration,Start_Date,Finish_Date
PEMBANGUNAN SUTT 150 kV MENES BARU - TANJUNG LESUNG,346 days,01 January 2025 08.00,12 December 2025 17.00
REMAINING PEKERJAAN,346 days,01 January 2025 08.00,12 December 2025 17.00
SERAH TERIMA ROW,206 days,30 January 2025 08.00,23 August 2025 17.00
Serah Terima ROW section 4,1 day,30 January 2025 08.00,30 January 2025 17.00
Serah Terima ROW section 3,1 day,22 February 2025 08.00,22 February 2025 17.00
Serah Terima ROW section 2,1 day,15 May 2025 08.00,15 May 2025 17.00
Serah Terima ROW section 1,1 day,23 August 2025 08.00,23 August 2025 17.00
SECTION 4 (T.83 - T.101),61 days,31 January 2025 08.00,01 April 2025 17.00
PEKERJAAN ROW CLEARANCE,14 days,31 January 2025 08.00,13 February 2025 17.00
"ROW & Bush Clearing (5,886 Kmr)",14 days,31 January 2025 08.00,13 February 2025 17.00
"PEKERJAAN STRINGING, SAGGING & CLAMPING",60 days,01 February 2025 08.00,01 April 2025 17.00
Persiapan Stringing (Eret- eret & mobilisasi ACSR),21 days,01 February 2025 08.00,21 February 2025 17.00
"Pekerjaan Stringing, Sagging & Clamping",45 days,16 February 2025 08.00,01 April 2025 17.00
SECTION 3 (T.56 - T.83),95 days,23 February 2025 08.00,28 May 2025 17.00
PEKERJAAN ROW CLEARANCE,18 days,23 February 2025 08.00,12 March 2025 17.00
ROW & Bush Clearing (8.701 Kmr),18 days,23 February 2025 08.00,12 March 2025 17.00
"PEKERJAAN STRINGING, SAGGING & CLAMPING",67 days,23 March 2025 08.00,28 May 2025 17.00
Persiapan Stringing (Eret- eret & mobilisasi ACSR),25 days,23 March 2025 08.00,16 April 2025 17.00
"Pekerjaan Stringing, Sagging & Clamping",50 days,09 April 2025 08.00,28 May 2025 17.00
SECTION 2 (T.18 - T.56),246 days,01 January 2025 08.00,03 September 2025 17.00
FABRIKASI STUB & TOWER,135 days,01 February 2025 08.00,15 June 2025 17.00
Fabrikasi Stub (1 Set) - T.21,29 days,01 February 2025 08.00,01 March 2025 17.00
Fabrikasi Tower (1 Set) - T.21,120 days,16 February 2025 08.00,15 June 2025 17.00
PEKERJAAN PONDASI (Incl. Borepile),135 days,01 January 2025 08.00,15 May 2025 17.00
